date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1823-10-01,4.607,2.053,Changchun,China,44.20N,125.22E
1823-11-01,-5.216,2.533,Changchun,China,44.20N,125.22E
1823-12-01,-14.534,2.544,Changchun,China,44.20N,125.22E
1824-01-01,-16.532,2.461,Changchun,China,44.20N,125.22E
1824-02-01,-12.517,2.641,Changchun,China,44.20N,125.22E
1824-03-01,-3.089,2.557,Changchun,China,44.20N,125.22E
1824-04-01,6.794,2.468,Changchun,China,44.20N,125.22E
1824-05-01,14.725,2.103,Changchun,China,44.20N,125.22E
1824-06-01,20.64,2.593,Changchun,China,44.20N,125.22E
1824-07-01,23.886,2.866,Changchun,China,44.20N,125.22E
1824-08-01,21.31,1.861,Changchun,China,44.20N,125.22E
1824-09-01,14.999,1.751,Changchun,China,44.20N,125.22E
1824-10-01,5.629,1.923,Changchun,China,44.20N,125.22E
1824-11-01,-3.839,2.374,Changchun,China,44.20N,125.22E
1824-12-01,-11.034,2.721,Changchun,China,44.20N,125.22E
1825-01-01,-15.496,2.568,Changchun,China,44.20N,125.22E
1825-02-01,-12.647,2.666,Changchun,China,44.20N,125.22E
1825-03-01,-3.34,2.602,Changchun,China,44.20N,125.22E
1825-04-01,7.204,2.588,Changchun,China,44.20N,125.22E
1825-05-01,14.583,1.808,Changchun,China,44.20N,125.22E
1825-06-01,21.293,1.722,Changchun,China,44.20N,125.22E
1825-07-01,22.819,1.904,Changchun,China,44.20N,125.22E
1825-08-01,20.899,1.8,Changchun,China,44.20N,125.22E
1825-09-01,14.61,1.844,Changchun,China,44.20N,125.22E
1825-10-01,5.412,2.119,Changchun,China,44.20N,125.22E
1825-11-01,-3.231,2.494,Changchun,China,44.20N,125.22E
1825-12-01,-13.759,2.505,Changchun,China,44.20N,125.22E
1826-01-01,-17.231,2.5,Changchun,China,44.20N,125.22E
1826-02-01,-14.339,2.814,Changchun,China,44.20N,125.22E
1826-03-01,-3.629,2.481,Changchun,China,44.20N,125.22E
1826-04-01,6.636,2.812,Changchun,China,44.20N,125.22E
1826-05-01,15.337,1.886,Changchun,China,44.20N,125.22E
1826-06-01,20.725,1.867,Changchun,China,44.20N,125.22E
1826-07-01,23.676,1.767,Changchun,China,44.20N,125.22E
1826-08-01,20.876,1.726,Changchun,China,44.20N,125.22E
1826-09-01,14.623,2.034,Changchun,China,44.20N,125.22E
1826-10-01,5.909,2.227,Changchun,China,44.20N,125.22E
1826-11-01,-3.414,2.296,Changchun,China,44.20N,125.22E
1826-12-01,-11.813,2.972,Changchun,China,44.20N,125.22E
1827-01-01,-15.289,3.059,Changchun,China,44.20N,125.22E
1827-02-01,-11.461,2.556,Changchun,China,44.20N,125.22E
1827-03-01,-1.936,2.458,Changchun,China,44.20N,125.22E
1827-04-01,7.45,3.032,Changchun,China,44.20N,125.22E
1827-05-01,15.317,2.464,Changchun,China,44.20N,125.22E
1827-06-01,21.209,1.832,Changchun,China,44.20N,125.22E
1827-07-01,24.06,1.758,Changchun,China,44.20N,125.22E
1827-08-01,21.508,1.674,Changchun,China,44.20N,125.22E
1827-09-01,14.552,1.66,Changchun,China,44.20N,125.22E
1827-10-01,5.938,1.844,Changchun,China,44.20N,125.22E
1827-11-01,-3.488,2.311,Changchun,China,44.20N,125.22E
1827-12-01,-13.988,3.432,Changchun,China,44.20N,125.22E
1828-01-01,-18.942,3.034,Changchun,China,44.20N,125.22E
1828-02-01,-13.9,2.883,Changchun,China,44.20N,125.22E
1828-03-01,-2.769,2.809,Changchun,China,44.20N,125.22E
1828-04-01,6.542,2.458,Changchun,China,44.20N,125.22E
1828-05-01,14.321,1.996,Changchun,China,44.20N,125.22E
1828-06-01,21.075,2.208,Changchun,China,44.20N,125.22E
1828-07-01,23.958,1.92,Changchun,China,44.20N,125.22E
1828-08-01,21.509,1.893,Changchun,China,44.20N,125.22E
1828-09-01,13.781,1.67,Changchun,China,44.20N,125.22E
1828-10-01,6.154,1.995,Changchun,China,44.20N,125.22E
1828-11-01,-3.881,2.41,Changchun,China,44.20N,125.22E
1828-12-01,-13.192,2.617,Changchun,China,44.20N,125.22E
1829-01-01,-16.938,2.574,Changchun,China,44.20N,125.22E
1829-02-01,-13.847,3.182,Changchun,China,44.20N,125.22E
1829-03-01,-3.473,2.544,Changchun,China,44.20N,125.22E
1829-04-01,5.709,2.046,Changchun,China,44.20N,125.22E
1829-05-01,14.226,2.125,Changchun,China,44.20N,125.22E
1829-06-01,19.916,2.149,Changchun,China,44.20N,125.22E
1829-07-01,23.886,1.768,Changchun,China,44.20N,125.22E
1829-08-01,21.227,1.739,Changchun,China,44.20N,125.22E
1829-09-01,13.989,1.569,Changchun,China,44.20N,125.22E
1829-10-01,6.153,2.174,Changchun,China,44.20N,125.22E
1829-11-01,-4.582,2.275,Changchun,China,44.20N,125.22E
1829-12-01,-13.353,2.877,Changchun,China,44.20N,125.22E
1830-01-01,-15.694,2.551,Changchun,China,44.20N,125.22E
1830-02-01,-11.386,2.449,Changchun,China,44.20N,125.22E
1830-03-01,-4.187,2.324,Changchun,China,44.20N,125.22E
1830-04-01,6.657,1.986,Changchun,China,44.20N,125.22E
1830-05-01,13.623,1.893,Changchun,China,44.20N,125.22E
1830-06-01,19.587,1.847,Changchun,China,44.20N,125.22E
1830-07-01,24.051,1.976,Changchun,China,44.20N,125.22E
1830-08-01,21.02,1.717,Changchun,China,44.20N,125.22E
1830-09-01,13.609,1.567,Changchun,China,44.20N,125.22E
1830-10-01,4.54,1.941,Changchun,China,44.20N,125.22E
1830-11-01,-2.346,2.414,Changchun,China,44.20N,125.22E
1830-12-01,-12.373,2.632,Changchun,China,44.20N,125.22E
1831-01-01,-17.037,2.912,Changchun,China,44.20N,125.22E
1831-02-01,-14.493,2.693,Changchun,China,44.20N,125.22E
1831-03-01,-4.754,2.289,Changchun,China,44.20N,125.22E
1831-04-01,5.449,1.893,Changchun,China,44.20N,125.22E
1831-05-01,13.785,1.969,Changchun,China,44.20N,125.22E
1831-06-01,20.575,2.124,Changchun,China,44.20N,125.22E
1831-07-01,22.75,1.855,Changchun,China,44.20N,125.22E
1831-08-01,20.157,1.691,Changchun,China,44.20N,125.22E
1831-09-01,13.405,1.664,Changchun,China,44.20N,125.22E
1831-10-01,5.271,1.853,Changchun,China,44.20N,125.22E
1831-11-01,-6.933,2.281,Changchun,China,44.20N,125.22E
1831-12-01,-14.031,2.643,Changchun,China,44.20N,125.22E
1832-01-01,-17.483,2.397,Changchun,China,44.20N,125.22E
1832-02-01,-13.152,2.552,Changchun,China,44.20N,125.22E
1832-03-01,-3.595,2.503,Changchun,China,44.20N,125.22E
1832-04-01,6.943,2.284,Changchun,China,44.20N,125.22E
1832-05-01,13.66,2.196,Changchun,China,44.20N,125.22E
1832-06-01,19.925,1.963,Changchun,China,44.20N,125.22E
1832-07-01,22.259,1.817,Changchun,China,44.20N,125.22E
1832-08-01,19.691,1.786,Changchun,China,44.20N,125.22E
1832-09-01,13.415,1.748,Changchun,China,44.20N,125.22E
1832-10-01,,,Changchun,China,44.20N,125.22E
1832-11-01,-5.297,2.166,Changchun,China,44.20N,125.22E
1832-12-01,-16.023,2.587,Changchun,China,44.20N,125.22E
1833-01-01,-17.272,2.529,Changchun,China,44.20N,125.22E
1833-02-01,-13.002,2.488,Changchun,China,44.20N,125.22E
1833-03-01,-4.797,2.394,Changchun,China,44.20N,125.22E
1833-04-01,5.538,2.326,Changchun,China,44.20N,125.22E
1833-05-01,14.312,1.716,Changchun,China,44.20N,125.22E
1833-06-01,19.554,1.808,Changchun,China,44.20N,125.22E
1833-07-01,22.796,1.748,Changchun,China,44.20N,125.22E
1833-08-01,20.823,1.778,Changchun,China,44.20N,125.22E
1833-09-01,14.849,1.662,Changchun,China,44.20N,125.22E
1833-10-01,4.992,1.865,Changchun,China,44.20N,125.22E
1833-11-01,-3.029,2.326,Changchun,China,44.20N,125.22E
1833-12-01,-13.591,2.664,Changchun,China,44.20N,125.22E
1834-01-01,-19.371,2.387,Changchun,China,44.20N,125.22E
1834-02-01,-13.161,2.669,Changchun,China,44.20N,125.22E
1834-03-01,-2.185,2.368,Changchun,China,44.20N,125.22E
1834-04-01,6.333,2.429,Changchun,China,44.20N,125.22E
1834-05-01,14.949,1.714,Changchun,China,44.20N,125.22E
1834-06-01,20.291,1.832,Changchun,China,44.20N,125.22E
1834-07-01,23.333,1.732,Changchun,China,44.20N,125.22E
1834-08-01,21.142,1.749,Changchun,China,44.20N,125.22E
1834-09-01,15.677,1.891,Changchun,China,44.20N,125.22E
1834-10-01,5.72,1.895,Changchun,China,44.20N,125.22E
1834-11-01,-3.266,2.522,Changchun,China,44.20N,125.22E
1834-12-01,-12.78,2.365,Changchun,China,44.20N,125.22E
1835-01-01,-16.043,2.64,Changchun,China,44.20N,125.22E
1835-02-01,-11.91,2.518,Changchun,China,44.20N,125.22E
1835-03-01,-4.285,2.556,Changchun,China,44.20N,125.22E
1835-04-01,6.361,2.064,Changchun,China,44.20N,125.22E
1835-05-01,13.284,1.815,Changchun,China,44.20N,125.22E
1835-06-01,19.183,2.112,Changchun,China,44.20N,125.22E
1835-07-01,22.111,1.915,Changchun,China,44.20N,125.22E
1835-08-01,19.914,1.621,Changchun,China,44.20N,125.22E
1835-09-01,13.6,1.715,Changchun,China,44.20N,125.22E
1835-10-01,4.904,1.914,Changchun,China,44.20N,125.22E
1835-11-01,-6.09,2.226,Changchun,China,44.20N,125.22E
1835-12-01,-15.119,2.386,Changchun,China,44.20N,125.22E
1836-01-01,-17.149,2.318,Changchun,China,44.20N,125.22E
1836-02-01,-13.294,2.506,Changchun,China,44.20N,125.22E
1836-03-01,-2.914,2.283,Changchun,China,44.20N,125.22E
1836-04-01,5.237,2.1,Changchun,China,44.20N,125.22E
1836-05-01,13.543,1.921,Changchun,China,44.20N,125.22E
1836-06-01,19.754,1.826,Changchun,China,44.20N,125.22E
1836-07-01,23.107,1.631,Changchun,China,44.20N,125.22E
1836-08-01,20.566,1.767,Changchun,China,44.20N,125.22E
1836-09-01,14.682,1.872,Changchun,China,44.20N,125.22E
1836-10-01,7.014,2.02,Changchun,China,44.20N,125.22E
1836-11-01,-6.374,2.426,Changchun,China,44.20N,125.22E
1836-12-01,-13.112,2.57,Changchun,China,44.20N,125.22E
1837-01-01,-17.004,2.554,Changchun,China,44.20N,125.22E
1837-02-01,-12.67,2.495,Changchun,China,44.20N,125.22E
1837-03-01,-5.263,2.415,Changchun,China,44.20N,125.22E
1837-04-01,4.473,2.099,Changchun,China,44.20N,125.22E
1837-05-01,12.929,1.766,Changchun,China,44.20N,125.22E
1837-06-01,19.073,1.872,Changchun,China,44.20N,125.22E
1837-07-01,23.085,1.619,Changchun,China,44.20N,125.22E
1837-08-01,21.188,1.604,Changchun,China,44.20N,125.22E
1837-09-01,14.377,1.62,Changchun,China,44.20N,125.22E
1837-10-01,5.413,1.765,Changchun,China,44.20N,125.22E
1837-11-01,-6.433,2.515,Changchun,China,44.20N,125.22E
1837-12-01,-12.623,2.36,Changchun,China,44.20N,125.22E
1838-01-01,-19.916,2.777,Changchun,China,44.20N,125.22E
1838-02-01,-14.223,2.495,Changchun,China,44.20N,125.22E
1838-03-01,-4.297,2.675,Changchun,China,44.20N,125.22E
1838-04-01,6.594,2.345,Changchun,China,44.20N,125.22E
1838-05-01,13.253,1.772,Changchun,China,44.20N,125.22E
1838-06-01,20.295,1.659,Changchun,China,44.20N,125.22E
1838-07-01,24.21,1.776,Changchun,China,44.20N,125.22E
1838-08-01,22.381,1.616,Changchun,China,44.20N,125.22E
1838-09-01,15.331,1.588,Changchun,China,44.20N,125.22E
1838-10-01,6.516,1.91,Changchun,China,44.20N,125.22E
1838-11-01,-5.058,2.705,Changchun,China,44.20N,125.22E
1838-12-01,-13.373,2.473,Changchun,China,44.20N,125.22E
1839-01-01,-17.456,2.471,Changchun,China,44.20N,125.22E
1839-02-01,-13.696,3.226,Changchun,China,44.20N,125.22E
1839-03-01,-6.132,2.271,Changchun,China,44.20N,125.22E
1839-04-01,5.208,2.425,Changchun,China,44.20N,125.22E
1839-05-01,13.791,1.536,Changchun,China,44.20N,125.22E
1839-06-01,19.85,1.528,Changchun,China,44.20N,125.22E
1839-07-01,22.725,3.105,Changchun,China,44.20N,125.22E
1839-08-01,21.658,1.846,Changchun,China,44.20N,125.22E
1839-09-01,15.12,1.5,Changchun,China,44.20N,125.22E
1839-10-01,4.196,3.413,Changchun,China,44.20N,125.22E
1839-11-01,-6.28,2.438,Changchun,China,44.20N,125.22E
1839-12-01,-16.49,2.979,Changchun,China,44.20N,125.22E
1840-01-01,-16.404,2.781,Changchun,China,44.20N,125.22E
1840-02-01,-13.17,2.651,Changchun,China,44.20N,125.22E
1840-03-01,-5.802,2.095,Changchun,China,44.20N,125.22E
1840-04-01,6.884,2.233,Changchun,China,44.20N,125.22E
1840-05-01,15.214,2.233,Changchun,China,44.20N,125.22E
1840-06-01,20.956,1.712,Changchun,China,44.20N,125.22E
1840-07-01,24.592,1.978,Changchun,China,44.20N,125.22E
1840-08-01,21.695,2.26,Changchun,China,44.20N,125.22E
1840-09-01,14.726,1.498,Changchun,China,44.20N,125.22E
1840-10-01,5.493,2.437,Changchun,China,44.20N,125.22E
1840-11-01,-4.135,4.597,Changchun,China,44.20N,125.22E
1840-12-01,-14.694,2.616,Changchun,China,44.20N,125.22E
1841-01-01,-20.262,2.113,Changchun,China,44.20N,125.22E
1841-02-01,-14.237,2.185,Changchun,China,44.20N,125.22E
1841-03-01,-6.536,2.12,Changchun,China,44.20N,125.22E
1841-04-01,5.63,2.356,Changchun,China,44.20N,125.22E
1841-05-01,13.87,1.386,Changchun,China,44.20N,125.22E
1841-06-01,19.729,2.609,Changchun,China,44.20N,125.22E
1841-07-01,23.275,1.56,Changchun,China,44.20N,125.22E
1841-08-01,21.396,1.361,Changchun,China,44.20N,125.22E
1841-09-01,14.285,1.205,Changchun,China,44.20N,125.22E
1841-10-01,4.906,1.883,Changchun,China,44.20N,125.22E
1841-11-01,-5.817,1.717,Changchun,China,44.20N,125.22E
1841-12-01,-14.223,2.043,Changchun,China,44.20N,125.22E
1842-01-01,-17.611,1.562,Changchun,China,44.20N,125.22E
1842-02-01,-12.729,2.035,Changchun,China,44.20N,125.22E
1842-03-01,-2.964,2.626,Changchun,China,44.20N,125.22E
1842-04-01,7.155,1.968,Changchun,China,44.20N,125.22E
1842-05-01,13.465,1.248,Changchun,China,44.20N,125.22E
1842-06-01,19.833,1.227,Changchun,China,44.20N,125.22E
1842-07-01,22.535,1.464,Changchun,China,44.20N,125.22E
1842-08-01,21.055,1.117,Changchun,China,44.20N,125.22E
1842-09-01,14.94,1.287,Changchun,China,44.20N,125.22E
1842-10-01,5.189,2.091,Changchun,China,44.20N,125.22E
1842-11-01,-5.705,2.116,Changchun,China,44.20N,125.22E
1842-12-01,-12.464,1.88,Changchun,China,44.20N,125.22E
1843-01-01,-16.637,1.655,Changchun,China,44.20N,125.22E
1843-02-01,-10.544,1.847,Changchun,China,44.20N,125.22E
1843-03-01,-1.333,4.252,Changchun,China,44.20N,125.22E
1843-04-01,6.873,1.331,Changchun,China,44.20N,125.22E
1843-05-01,13.211,1.165,Changchun,China,44.20N,125.22E
1843-06-01,18.505,1.883,Changchun,China,44.20N,125.22E
1843-07-01,23.515,1.714,Changchun,China,44.20N,125.22E
1843-08-01,21.499,1.255,Changchun,China,44.20N,125.22E
1843-09-01,14.921,1.018,Changchun,China,44.20N,125.22E
1843-10-01,4.86,2.744,Changchun,China,44.20N,125.22E
1843-11-01,-4.844,1.406,Changchun,China,44.20N,125.22E
1843-12-01,-12.516,3.061,Changchun,China,44.20N,125.22E
1844-01-01,-16.009,2.382,Changchun,China,44.20N,125.22E
1844-02-01,-13.424,2.422,Changchun,China,44.20N,125.22E
1844-03-01,-3.05,1.815,Changchun,China,44.20N,125.22E
1844-04-01,5.432,1.748,Changchun,China,44.20N,125.22E
1844-05-01,13.632,1.15,Changchun,China,44.20N,125.22E
1844-06-01,19.489,1.289,Changchun,China,44.20N,125.22E
1844-07-01,22.92,1.506,Changchun,China,44.20N,125.22E
1844-08-01,21.514,1.35,Changchun,China,44.20N,125.22E
1844-09-01,15.096,1.283,Changchun,China,44.20N,125.22E
1844-10-01,6.98,1.305,Changchun,China,44.20N,125.22E
1844-11-01,-3.218,2.605,Changchun,China,44.20N,125.22E
1844-12-01,-14.812,1.804,Changchun,China,44.20N,125.22E
1845-01-01,-14.714,3.822,Changchun,China,44.20N,125.22E
1845-02-01,-13.21,2.648,Changchun,China,44.20N,125.22E
1845-03-01,-3.294,1.17,Changchun,China,44.20N,125.22E
1845-04-01,6.595,1.088,Changchun,China,44.20N,125.22E
1845-05-01,14.481,0.822,Changchun,China,44.20N,125.22E
1845-06-01,20.891,1.015,Changchun,China,44.20N,125.22E
1845-07-01,23.441,1.05,Changchun,China,44.20N,125.22E
1845-08-01,20.902,0.718,Changchun,China,44.20N,125.22E
1845-09-01,14.902,1.167,Changchun,China,44.20N,125.22E
1845-10-01,5.145,1.076,Changchun,China,44.20N,125.22E
1845-11-01,-5.003,1.372,Changchun,China,44.20N,125.22E
1845-12-01,-16.106,1.571,Changchun,China,44.20N,125.22E
1846-01-01,-15.928,1.589,Changchun,China,44.20N,125.22E
1846-02-01,-12.035,1.885,Changchun,China,44.20N,125.22E
1846-03-01,-2.56,1.828,Changchun,China,44.20N,125.22E
1846-04-01,6.268,1.934,Changchun,China,44.20N,125.22E
1846-05-01,13.057,1.529,Changchun,China,44.20N,125.22E
1846-06-01,20.893,1.556,Changchun,China,44.20N,125.22E
1846-07-01,24.266,1.062,Changchun,China,44.20N,125.22E
1846-08-01,22.371,0.977,Changchun,China,44.20N,125.22E
1846-09-01,15.914,1.088,Changchun,China,44.20N,125.22E
1846-10-01,6.458,1.708,Changchun,China,44.20N,125.22E
1846-11-01,-5.308,1.387,Changchun,China,44.20N,125.22E
1846-12-01,-12.634,1.514,Changchun,China,44.20N,125.22E
1847-01-01,-15.121,1.701,Changchun,China,44.20N,125.22E
1847-02-01,-12.668,1.587,Changchun,China,44.20N,125.22E
1847-03-01,-4.255,2.209,Changchun,China,44.20N,125.22E
1847-04-01,6.906,1.351,Changchun,China,44.20N,125.22E
1847-05-01,14.012,1.059,Changchun,China,44.20N,125.22E
1847-06-01,19.549,1.519,Changchun,China,44.20N,125.22E
1847-07-01,22.577,2.894,Changchun,China,44.20N,125.22E
1847-08-01,20.87,1.006,Changchun,China,44.20N,125.22E
1847-09-01,14.704,1.677,Changchun,China,44.20N,125.22E
1847-10-01,6.207,1.086,Changchun,China,44.20N,125.22E
1847-11-01,-2.121,1.671,Changchun,China,44.20N,125.22E
1847-12-01,-13.906,2.321,Changchun,China,44.20N,125.22E
1848-01-01,-18.533,2.056,Changchun,China,44.20N,125.22E
1848-02-01,-10.426,1.708,Changchun,China,44.20N,125.22E
1848-03-01,-2.466,1.347,Changchun,China,44.20N,125.22E
1848-04-01,6.532,1.334,Changchun,China,44.20N,125.22E
1848-05-01,13.907,1.639,Changchun,China,44.20N,125.22E
1848-06-01,20.307,2.055,Changchun,China,44.20N,125.22E
1848-07-01,23.068,1.148,Changchun,China,44.20N,125.22E
1848-08-01,20.583,1.395,Changchun,China,44.20N,125.22E
1848-09-01,15.06,1.088,Changchun,China,44.20N,125.22E
1848-10-01,6.289,0.874,Changchun,China,44.20N,125.22E
1848-11-01,-4.154,1.782,Changchun,China,44.20N,125.22E
1848-12-01,-11.527,3.061,Changchun,China,44.20N,125.22E
1849-01-01,-13.663,4.218,Changchun,China,44.20N,125.22E
1849-02-01,-10.217,1.455,Changchun,China,44.20N,125.22E
1849-03-01,-1.856,2.004,Changchun,China,44.20N,125.22E
1849-04-01,5.762,2.801,Changchun,China,44.20N,125.22E
1849-05-01,13.677,1.167,Changchun,China,44.20N,125.22E
1849-06-01,20.171,1.384,Changchun,China,44.20N,125.22E
1849-07-01,22.198,1.512,Changchun,China,44.20N,125.22E
1849-08-01,21.997,0.942,Changchun,China,44.20N,125.22E
1849-09-01,15.037,1.196,Changchun,China,44.20N,125.22E
1849-10-01,5.532,1.616,Changchun,China,44.20N,125.22E
1849-11-01,-4.539,2.416,Changchun,China,44.20N,125.22E
1849-12-01,-15.389,1.722,Changchun,China,44.20N,125.22E
1850-01-01,-18.003,1.929,Changchun,China,44.20N,125.22E
1850-02-01,-12.38,1.944,Changchun,China,44.20N,125.22E
1850-03-01,-2.967,3.161,Changchun,China,44.20N,125.22E
1850-04-01,3.341,3.197,Changchun,China,44.20N,125.22E
1850-05-01,13.808,1.326,Changchun,China,44.20N,125.22E
1850-06-01,19.693,1.368,Changchun,China,44.20N,125.22E
1850-07-01,23.006,1.026,Changchun,China,44.20N,125.22E
1850-08-01,20.685,1.974,Changchun,China,44.20N,125.22E
1850-09-01,14.424,1.155,Changchun,China,44.20N,125.22E
1850-10-01,4.659,1.275,Changchun,China,44.20N,125.22E
1850-11-01,-8.402,1.562,Changchun,China,44.20N,125.22E
1850-12-01,-14.947,1.961,Changchun,China,44.20N,125.22E
1851-01-01,-16.576,1.172,Changchun,China,44.20N,125.22E
1851-02-01,-13.145,1.696,Changchun,China,44.20N,125.22E
1851-03-01,-6.571,1.851,Changchun,China,44.20N,125.22E
1851-04-01,3.066,3.567,Changchun,China,44.20N,125.22E
1851-05-01,13.21,1.992,Changchun,China,44.20N,125.22E
1851-06-01,21.08,1.401,Changchun,China,44.20N,125.22E
1851-07-01,23.553,1.608,Changchun,China,44.20N,125.22E
1851-08-01,20.451,2.056,Changchun,China,44.20N,125.22E
1851-09-01,14.048,1.147,Changchun,China,44.20N,125.22E
1851-10-01,4.005,3.424,Changchun,China,44.20N,125.22E
1851-11-01,-7.839,3.927,Changchun,China,44.20N,125.22E
1851-12-01,-16.898,6.165,Changchun,China,44.20N,125.22E
1852-01-01,-18.529,4.097,Changchun,China,44.20N,125.22E
1852-02-01,-16.253,2.874,Changchun,China,44.20N,125.22E
1852-03-01,-7.261,3.608,Changchun,China,44.20N,125.22E
1852-04-01,4.154,2.808,Changchun,China,44.20N,125.22E
1852-05-01,13.117,2.854,Changchun,China,44.20N,125.22E
1852-06-01,20.788,0.944,Changchun,China,44.20N,125.22E
1852-07-01,23.652,1.476,Changchun,China,44.20N,125.22E
1852-08-01,20.432,1.027,Changchun,China,44.20N,125.22E
1852-09-01,14.298,1.036,Changchun,China,44.20N,125.22E
1852-10-01,6.273,1.274,Changchun,China,44.20N,125.22E
1852-11-01,-6.779,2.971,Changchun,China,44.20N,125.22E
1852-12-01,-12.37,2.569,Changchun,China,44.20N,125.22E
1853-01-01,-18.439,3.179,Changchun,China,44.20N,125.22E
1853-02-01,-16.338,3.318,Changchun,China,44.20N,125.22E
1853-03-01,-6.075,3.078,Changchun,China,44.20N,125.22E
1853-04-01,3.634,2.238,Changchun,China,44.20N,125.22E
1853-05-01,13.735,1.329,Changchun,China,44.20N,125.22E
1853-06-01,20.446,1.393,Changchun,China,44.20N,125.22E
1853-07-01,24.748,1.134,Changchun,China,44.20N,125.22E
1853-08-01,21.464,1.508,Changchun,China,44.20N,125.22E
1853-09-01,15.376,1.36,Changchun,China,44.20N,125.22E
1853-10-01,4.862,1.357,Changchun,China,44.20N,125.22E
1853-11-01,-5.179,1.739,Changchun,China,44.20N,125.22E
1853-12-01,-14.698,2.003,Changchun,China,44.20N,125.22E
1854-01-01,-17.585,2.027,Changchun,China,44.20N,125.22E
1854-02-01,-16.416,3.268,Changchun,China,44.20N,125.22E
1854-03-01,-3.352,1.656,Changchun,China,44.20N,125.22E
1854-04-01,7.004,1.507,Changchun,China,44.20N,125.22E
1854-05-01,15.303,1.031,Changchun,China,44.20N,125.22E
1854-06-01,20.733,1.64,Changchun,China,44.20N,125.22E
1854-07-01,23.84,1.859,Changchun,China,44.20N,125.22E
1854-08-01,21.356,1.846,Changchun,China,44.20N,125.22E
1854-09-01,15.397,0.93,Changchun,China,44.20N,125.22E
1854-10-01,7.66,2.085,Changchun,China,44.20N,125.22E
1854-11-01,-3.623,1.312,Changchun,China,44.20N,125.22E
1854-12-01,-12.367,3.562,Changchun,China,44.20N,125.22E
1855-01-01,-13.557,2.627,Changchun,China,44.20N,125.22E
1855-02-01,-11.689,2.952,Changchun,China,44.20N,125.22E
1855-03-01,-2.551,1.461,Changchun,China,44.20N,125.22E
1855-04-01,8.855,1.252,Changchun,China,44.20N,125.22E
1855-05-01,13.766,1.9,Changchun,China,44.20N,125.22E
1855-06-01,21.225,1.57,Changchun,China,44.20N,125.22E
1855-07-01,23.594,0.79,Changchun,China,44.20N,125.22E
1855-08-01,21.486,1.131,Changchun,China,44.20N,125.22E
1855-09-01,15.541,1.074,Changchun,China,44.20N,125.22E
1855-10-01,5.569,1.689,Changchun,China,44.20N,125.22E
1855-11-01,-5.336,1.301,Changchun,China,44.20N,125.22E
1855-12-01,-12.673,2.245,Changchun,China,44.20N,125.22E
1856-01-01,-16.915,1.602,Changchun,China,44.20N,125.22E
1856-02-01,-16.691,4.597,Changchun,China,44.20N,125.22E
1856-03-01,-2.496,2.642,Changchun,China,44.20N,125.22E
1856-04-01,6.87,1.461,Changchun,China,44.20N,125.22E
