Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2019,2019,°C,0.381,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2019,2019,°C,1.227,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2019,2019,°C,2.092,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2019,2019,°C,1.172,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2019,2019,°C,3.117,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2019,2019,°C,2.087,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2019,2019,°C,1.372,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2019,2019,°C,0.689,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2019,2019,°C,1.497,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2019,2019,°C,1.411,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2020,2020,°C,1.482,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2020,2020,°C,1.037,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2020,2020,°C,0.534,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2020,2020,°C,1.568,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2020,2020,°C,-0.248,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2020,2020,°C,0.989,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2020,2020,°C,0.963,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2020,2020,°C,1.363,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2020,2020,°C,2.528,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2020,2020,°C,1.129,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2020,2020,°C,2.387,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2020,2020,°C,0.306,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2020,2020,°C,1.879,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2020,2020,°C,0.618,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2020,2020,°C,1.105,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2020,2020,°C,2.015,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2020,2020,°C,1.404,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2021,2021,°C,0.391,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2021,2021,°C,-0.052,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2021,2021,°C,0.217,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2021,2021,°C,0.313,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2021,2021,°C,0.811,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2021,2021,°C,0.343,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2021,2021,°C,1.601,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2021,2021,°C,1.456,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2021,2021,°C,1.134,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2021,2021,°C,0.983,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2021,2021,°C,-0.428,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2021,2021,°C,1.087,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7016,Dec–Jan–Feb,2021,2021,°C,0.215,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7017,Mar–Apr–May,2021,2021,°C,0.447,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7018,Jun–Jul–Aug,2021,2021,°C,1.133,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7019,Sep–Oct–Nov,2021,2021,°C,0.563,E,Estimated value
ET,Temperature change,36,Australia,7271,Temperature change,7020,Meteorological year,2021,2021,°C,0.589,E,Estimated value
