Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1995,1995,m3,219446800,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1996,1996,m3,218976515,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1997,1997,m3,227217067,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1998,1998,m3,217550517,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",1999,1999,m3,213378674,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2000,2000,m3,204156293,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2001,2001,m3,205964458,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2002,2002,m3,206231455,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2003,2003,m3,210237839,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2004,2004,m3,210520503,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2005,2005,m3,206858923,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2006,2006,m3,210294022,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2007,2007,m3,209703012,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2008,2008,m3,208637929,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2009,2009,m3,209431749,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2010,2010,m3,212758434,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2011,2011,m3,210071289,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2012,2012,m3,212615365,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2013,2013,m3,214232690,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2014,2014,m3,209880404,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2015,2015,m3,214120678,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2016,2016,m3,213912610,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2017,2017,m3,216828817,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2018,2018,m3,242744037,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2019,2019,m3,240183154,C,"Aggregate, may include official, semi-official, estimated or calculated data"
FO,Forestry Production and Trade,1,World,5516,Production,1627,"Wood fuel, coniferous",2020,2020,m3,231003514,C,"Aggregate, may include official, semi-official, estimated or calculated data"
